Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Star Wars: Episode I - The Phantom Menace,"$924,305,084","$431,088,295",46.6%,"$493,216,789",53.4%
2,The Sixth Sense,"$672,806,292","$293,506,292",43.6%,"$379,300,000",56.4%
3,Toy Story 2,"$487,059,677","$245,852,179",50.5%,"$241,207,498",49.5%
4,The Matrix,"$463,517,383","$171,479,930",37%,"$292,037,453",63%
5,Tarzan,"$448,191,819","$171,091,819",38.2%,"$277,100,000",61.8%
6,American Beauty,"$356,296,601","$130,096,601",36.5%,"$226,200,000",63.5%
7,Runaway Bride,"$309,460,292","$152,257,509",49.2%,"$157,202,783",50.8%
8,Stuart Little,"$300,135,367","$140,035,367",46.7%,"$160,100,000",53.3%
9,The Green Mile,"$286,801,374","$136,801,374",47.7%,"$150,000,000",52.3%
10,The Blair Witch Project,"$248,639,099","$140,539,099",56.5%,"$108,100,000",43.5%
11,American Pie,"$235,483,004","$102,561,004",43.6%,"$132,922,000",56.4%
12,Big Daddy,"$234,801,895","$163,479,795",69.6%,"$71,322,100",30.4%
13,Wild Wild West,"$222,104,681","$113,804,681",51.2%,"$108,300,000",48.8%
14,Entrapment,"$212,404,396","$87,704,396",41.3%,"$124,700,000",58.7%
15,End of Days,"$211,989,043","$66,889,043",31.6%,"$145,100,000",68.4%
16,Austin Powers: The Spy Who Shagged Me,"$206,756,056","$206,040,086",99.7%,"$715,970",0.3%
17,Sleepy Hollow,"$206,071,502","$101,071,502",49%,"$105,000,000",51%
18,Double Jeopardy,"$177,841,558","$116,741,558",65.6%,"$61,100,000",34.4%
19,The Haunting,"$177,311,151","$91,411,151",51.6%,"$85,900,000",48.4%
20,Analyze This,"$176,885,658","$106,885,658",60.4%,"$70,000,000",39.6%
21,Deep Blue Sea,"$164,648,142","$73,648,142",44.7%,"$91,000,000",55.3%
22,Pokémon: The First Movie - Mewtwo Strikes Back,"$163,644,662","$85,744,662",52.4%,"$77,900,000",47.6%
23,Eyes Wide Shut,"$162,091,208","$55,691,208",34.4%,"$106,400,000",65.6%
24,Payback,"$161,626,121","$81,526,121",50.4%,"$80,100,000",49.6%
25,Princess Mononoke,"$159,414,369","$2,375,308",1.5%,"$157,039,061",98.5%
26,The Mummy,"$155,563,437","$155,385,488",99.9%,"$177,949",0.1%
27,The Bone Collector,"$151,493,655","$66,518,655",43.9%,"$84,975,000",56.1%
