Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Pirates of the Caribbean: Dead Man's Chest,"$1,066,179,725","$423,315,812",39.7%,"$642,863,913",60.3%
2,The Da Vinci Code,"$760,006,945","$217,536,138",28.6%,"$542,470,807",71.4%
3,Ice Age: The Meltdown,"$660,998,756","$195,330,621",29.6%,"$465,668,135",70.4%
4,Casino Royale,"$605,999,592","$167,445,960",27.6%,"$438,553,632",72.4%
5,Night at the Museum,"$574,480,841","$250,863,268",43.7%,"$323,617,573",56.3%
6,Cars,"$461,983,149","$244,082,982",52.8%,"$217,900,167",47.2%
7,X-Men: The Last Stand,"$460,435,291","$234,362,462",50.9%,"$226,072,829",49.1%
8,Mission: Impossible III,"$398,479,497","$134,029,801",33.6%,"$264,449,696",66.4%
9,Superman Returns,"$391,081,192","$200,081,192",51.2%,"$191,000,000",48.8%
10,Happy Feet,"$384,335,608","$198,000,317",51.5%,"$186,335,291",48.5%
11,Over the Hedge,"$339,795,890","$155,019,340",45.6%,"$184,776,550",54.4%
12,The Devil Wears Prada,"$326,705,902","$124,740,460",38.2%,"$201,965,442",61.8%
13,The Pursuit of Happyness,"$307,127,625","$163,566,459",53.3%,"$143,561,166",46.7%
14,The Departed,"$291,465,034","$132,384,315",45.4%,"$159,080,719",54.6%
15,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$262,552,893","$128,505,958",48.9%,"$134,046,935",51.1%
16,Eragon,"$250,425,512","$75,030,163",30%,"$175,395,349",70%
17,Click,"$240,685,326","$137,355,633",57.1%,"$103,329,693",42.9%
18,The Holiday,"$205,841,885","$63,224,849",30.7%,"$142,617,036",69.3%
19,The Break-Up,"$205,668,210","$118,703,275",57.7%,"$86,964,935",42.3%
20,Open Season,"$200,811,689","$85,105,259",42.4%,"$115,706,430",57.6%
21,Inside Man,"$186,003,591","$88,513,495",47.6%,"$97,490,096",52.4%
22,Poseidon,"$181,674,817","$60,674,817",33.4%,"$121,000,000",66.6%
23,Deja Vu,"$180,557,550","$64,038,616",35.5%,"$116,518,934",64.5%
24,Flushed Away,"$178,281,554","$64,665,672",36.3%,"$113,615,882",63.7%
25,Scary Movie 4,"$178,262,620","$90,710,620",50.9%,"$87,552,000",49.1%
26,Blood Diamond,"$171,720,398","$57,377,916",33.4%,"$114,342,482",66.6%
27,Saw III,"$164,874,275","$80,238,724",48.7%,"$84,635,551",51.3%
28,Miami Vice,"$164,231,296","$63,450,470",38.6%,"$100,780,826",61.4%
29,The Pink Panther,"$164,115,897","$82,226,474",50.1%,"$81,889,423",49.9%
30,Talladega Nights: The Ballad of Ricky Bobby,"$163,362,095","$148,213,377",90.7%,"$15,148,718",9.3%
31,World Trade Center,"$163,247,198","$70,278,893",43.1%,"$92,968,305",56.9%
32,The Fast and the Furious: Tokyo Drift,"$158,964,610","$62,514,415",39.3%,"$96,450,195",60.7%
33,Rocky Balboa,"$155,929,020","$70,270,943",45.1%,"$85,658,077",54.9%
34,Dreamgirls,"$155,430,335","$103,365,956",66.5%,"$52,064,379",33.5%
35,Charlotte's Web,"$148,963,822","$82,985,708",55.7%,"$65,978,114",44.3%
36,Garfield: A Tail of Two Kitties,"$143,325,970","$28,426,747",19.8%,"$114,899,223",80.2%
37,Monster House,"$141,861,243","$73,661,010",51.9%,"$68,200,233",48.1%
38,Big Momma's House 2,"$141,522,961","$70,165,972",49.6%,"$71,356,989",50.4%
39,Babel,"$135,330,182","$34,302,837",25.3%,"$101,027,345",74.7%
40,Perfume: The Story of a Murderer,"$135,039,924","$2,223,293",1.6%,"$132,816,631",98.4%
41,V for Vendetta,"$132,511,035","$70,511,035",53.2%,"$62,000,000",46.8%
42,"You, Me and Dupree","$130,628,903","$75,628,110",57.9%,"$55,000,793",42.1%
43,Failure to Launch,"$130,224,158","$88,715,192",68.1%,"$41,508,966",31.9%
44,The Queen,"$123,384,128","$56,441,711",45.7%,"$66,942,417",54.3%
45,Apocalypto,"$120,673,227","$50,866,635",42.2%,"$69,806,592",57.8%
46,Eight Below,"$120,455,994","$81,612,565",67.8%,"$38,843,429",32.2%
47,The Omen,"$119,974,972","$54,607,383",45.5%,"$65,367,589",54.5%
48,Final Destination 3,"$118,890,272","$54,098,051",45.5%,"$64,792,221",54.5%
49,Barnyard,"$116,755,080","$72,637,803",62.2%,"$44,117,277",37.8%
50,The Lake House,"$114,830,111","$52,330,111",45.6%,"$62,500,000",54.4%
51,Step Up,"$114,194,847","$65,328,121",57.2%,"$48,866,726",42.8%
52,Underworld: Evolution,"$111,476,513","$62,318,875",55.9%,"$49,157,638",44.1%
53,The Santa Clause 3: The Escape Clause,"$110,768,122","$84,500,122",76.3%,"$26,268,000",23.7%
54,The Prestige,"$109,676,311","$53,089,891",48.4%,"$56,586,420",51.6%
55,Arthur and the Invisibles,"$107,944,236","$15,132,763",14%,"$92,811,473",86%
56,Little Man,"$104,003,322","$58,645,052",56.4%,"$45,358,270",43.6%
57,The Wild,"$102,338,515","$37,384,046",36.5%,"$64,954,469",63.5%
58,Little Miss Sunshine,"$101,058,954","$59,891,098",59.3%,"$41,167,856",40.7%
59,Silent Hill,"$100,605,135","$46,982,632",46.7%,"$53,622,503",53.3%
60,The Good Shepherd,"$100,266,865","$59,952,835",59.8%,"$40,314,030",40.2%
61,Nacho Libre,"$99,255,460","$80,197,993",80.8%,"$19,057,467",19.2%
62,Deep Sea,"$98,230,905","$46,412,757",47.2%,"$51,818,148",52.8%
63,The Guardian,"$94,973,540","$55,011,732",57.9%,"$39,961,808",42.1%
64,The Host,"$89,431,890","$2,201,923",2.5%,"$87,229,967",97.5%
65,The Illusionist,"$87,892,388","$39,868,642",45.4%,"$48,023,746",54.6%
66,RV,"$87,528,173","$71,726,025",81.9%,"$15,802,148",18.1%
67,The Shaggy Dog,"$87,134,280","$61,123,569",70.1%,"$26,010,711",29.9%
68,Date Movie,"$85,749,034","$48,548,426",56.6%,"$37,200,608",43.4%
69,Volver,"$85,585,177","$12,899,867",15.1%,"$72,685,310",84.9%
70,Jackass Number Two,"$84,645,164","$72,778,712",86%,"$11,866,452",14%
71,French Fried Vacation 3: Friends Forever,"$84,152,064",-,-,"$84,152,064",100%
72,Pan's Labyrinth,"$83,850,267","$37,634,615",44.9%,"$46,215,652",55.1%
73,Firewall,"$82,751,189","$48,751,189",58.9%,"$34,000,000",41.1%
74,Hostel,"$81,979,826","$47,326,473",57.7%,"$34,653,353",42.3%
75,The Sentinel,"$78,810,595","$36,280,697",46%,"$42,529,898",54%
76,Curse of the Golden Flower,"$78,568,977","$6,566,773",8.4%,"$72,002,204",91.6%
77,The Lives of Others,"$77,356,942","$11,286,112",14.6%,"$66,070,830",85.4%
78,United 93,"$76,700,659","$31,483,450",41%,"$45,217,209",59%
79,Lady in the Water,"$72,785,169","$42,285,169",58.1%,"$30,500,000",41.9%
80,The Grudge 2,"$70,711,175","$39,143,839",55.4%,"$31,567,336",44.6%
81,Children of Men,"$70,455,770","$35,552,383",50.5%,"$34,903,387",49.5%
82,The Hills Have Eyes,"$70,008,952","$41,778,863",59.7%,"$28,230,089",40.3%
83,Curious George,"$69,865,924","$58,360,760",83.5%,"$11,505,164",16.5%
84,John Tucker Must Die,"$68,844,775","$41,011,711",59.6%,"$27,833,064",40.4%
85,Letters from Iwo Jima,"$68,673,228","$13,756,082",20%,"$54,917,146",80%
86,Tales from Earthsea,"$68,625,104",-,-,"$68,625,104",100%
